A,B,A_B
202738,50748,202738_50748
209118,281339,209118_281339
201463,51061,201463_51061
51068,201463,51068_201463
51104,51107,51104_51107
213022,51148,213022_51148
51150,213022,51150_213022
51147,213025,51147_213025
213139,50886,213139_50886
50885,213139,50885_213139
50820,50819,50820_50819
222925,50955,222925_50955
222926,222925,222926_222925
223859,50939,223859_50939
224852,51110,224852_51110
224851,224852,224851_224852
224860,50839,224860_50839
224859,224860,224859_224860
51896,225237,51896_225237
50921,226829,50921_226829
227883,50864,227883_50864
231816,50895,231816_50895
50892,231816,50892_231816
50822,228219,50822_228219
232155,50900,232155_50900
50902,232155,50902_232155
13229,232694,13229_232694
232695,13229,232695_13229
50851,232695,50851_232695
48343,232707,48343_232707
232708,48343,232708_48343
232727,232708,232727_232708
198042,232727,198042_232727
232707,232730,232707_232730
232731,48339,232731_48339
232730,232731,232730_232731
51065,232872,51065_232872
232902,51898,232902_51898
51901,232902,51901_232902
51861,232903,51861_232903
232906,51749,232906_51749
232905,232906,232905_232906
233402,318604,233402_318604
50598,233410,50598_233410
233410,233411,233410_233411
50568,233411,50568_233411
50610,233425,50610_233425
50614,233426,50614_233426
233425,233426,233425_233426
50731,233427,50731_233427
50614,233427,50614_233427
500282,233428,500282_233428
50742,233429,50742_233429
233430,50618,233430_50618
50616,233430,50616_233430
233437,50831,233437_50831
50830,233437,50830_233437
50972,233451,50972_233451
233452,51013,233452_51013
233452,233451,233452_233451
48275,233454,48275_233454
233475,50988,233475_50988
50992,233475,50992_233475
233476,51029,233476_51029
233476,51023,233476_51023
233479,50857,233479_50857
50860,233479,50860_233479
50860,233480,50860_233480
233481,51023,233481_51023
51014,233481,51014_233481
48343,233493,48343_233493
233499,50921,233499_50921
50933,233499,50933_233499
50941,233500,50941_233500
50929,233501,50929_233501
51064,233503,51064_233503
233505,51075,233505_51075
233506,233505,233506_233505
51076,233506,51076_233506
233507,51076,233507_51076
233517,51140,233517_51140
233523,51099,233523_51099
51110,233524,51110_233524
51097,233532,51097_233532
50937,15657,50937_15657
51122,207851,51122_207851
50819,233807,50819_233807
50821,233808,50821_233808
233819,51068,233819_51068
233532,233819,233532_233819
198048,233842,198048_233842
233846,48276,233846_48276
233844,233846,233844_233846
233869,233868,233869_233868
233870,233869,233870_233869
233871,233870,233871_233870
198043,233871,198043_233871
233879,50821,233879_50821
50916,233894,50916_233894
233895,50899,233895_50899
